ID,Category,Clause_Name,Language,Keywords,Risk_Score,Impact_Level,Reason,Recommendation,Business_Impact,Contract_Type,Type,Legal_Reference
25,Detection,Confidentiality,EN,"confidentiality, trade secret, non-disclosure, confidential information",0,High,Confidentiality clauses protect sensitive business information shared during the contract from misuse.,"Define what is confidential, the duration of the obligation, and exceptions (e.g., required by law).",Loss of trade secrets and competitive advantage if sensitive information is leaked.,All Contracts,General Commercial,UU No. 30 Tahun 2000 tentang Rahasia Dagang; Pasal 1338 KUH Perdata; ketentuan wanprestasi KUH Perdata.
26,Detection,Confidentiality,ID,"kerahasiaan, rahasia, informasi rahasia, non-disclosure",0,High,Klausul kerahasiaan melindungi informasi bisnis sensitif yang dibagikan selama kontrak dari penyalahgunaan.,"Definisikan apa yang dirahasiakan, durasi kewajiban, dan pengecualian (misal diwajibkan hukum).",Kehilangan rahasia dagang dan keunggulan kompetitif jika informasi sensitif bocor.,All Contracts,General Commercial,UU No. 30 Tahun 2000 tentang Rahasia Dagang; Pasal 1338 KUH Perdata; ketentuan wanprestasi KUH Perdata.
27,Detection,Confidentiality,FR,"confidentialité, secret commercial, non-divulgation, informations confidentielles",0,High,Les clauses de confidentialité protègent les informations sensibles partagées pendant le contrat contre les abus.,"Définir les informations confidentielles, la durée de l'obligation, et les exceptions (ex. exigence légale).",Perte de secrets commerciaux et d'avantage concurrentiel en cas de fuite d'informations.,All Contracts,General Commercial,UU No. 30 Tahun 2000 tentang Rahasia Dagang; Pasal 1338 KUH Perdata; ketentuan wanprestasi KUH Perdata.
28,Detection,Liability,EN,"liability, indemnification, hold harmless, damages, responsibility",0,Critical,A liability clause allocates financial risk between parties and typically includes a cap to limit exposure.,"Include a mutual limitation of liability (e.g., capped at the contract value) and exclude indirect damages.",Unlimited liability can bankrupt a party due to a single error or breach.,Commercial Agreement; SaaS Agreement,Software,KUH Perdata mengenai ganti rugi dan wanprestasi (Pasal 1243 dan seterusnya); Pasal 1365 KUH Perdata untuk perbuatan melawan hukum.
29,Detection,Liability,ID,"tanggung jawab, ganti rugi, kewajiban, kerugian, kewajiban hukum",0,Critical,Klausul tanggung jawab mengalokasikan risiko finansial antar pihak dan biasanya mencakup batasan untuk membatasi eksposur.,Sertakan batasan tanggung jawab timbal balik (misal maksimal nilai kontrak) dan kecualikan kerugian tidak langsung.,Tanggung jawab tanpa batas dapat membangkrutkan satu pihak karena satu kesalahan atau pelanggaran.,Commercial Agreement; SaaS Agreement,Software,KUH Perdata mengenai ganti rugi dan wanprestasi (Pasal 1243 dan seterusnya); Pasal 1365 KUH Perdata untuk perbuatan melawan hukum.
30,Detection,Liability,FR,"responsabilité, indemnisation, dommages-intérêts, réparation, obligation",0,Critical,La clause de responsabilité répartit le risque financier entre les parties et inclut généralement un plafond.,Inclure une limitation de responsabilité mutuelle (ex. plafonnée à la valeur du contrat) et exclure les dommages indirects.,La responsabilité illimitée peut ruiner une partie à cause d'une simple erreur ou d'un manquement.,Commercial Agreement; SaaS Agreement,Software,KUH Perdata mengenai ganti rugi dan wanprestasi (Pasal 1243 dan seterusnya); Pasal 1365 KUH Perdata untuk perbuatan melawan hukum.
31,Detection,Notice,EN,"notice, notification, correspondence, formal communication, address",0,Low,A notice clause ensures that formal communications between parties are legally valid and properly delivered.,"Specify acceptable delivery methods, addresses, and proof‑of‑delivery requirements.","Without notice provisions, important communications (e.g., termination, breach) may be ignored or claimed not received.",All Contracts,General Commercial,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
32,Detection,Notice,ID,"pemberitahuan, korespondensi, alamat resmi, pengiriman surat",0,Low,Klausul pemberitahuan menjamin bahwa komunikasi formal antar pihak sah secara hukum dan sampai dengan baik.,"Tentukan metode pengiriman yang diterima, alamat, dan persyaratan bukti pengiriman.","Tanpa ketentuan pemberitahuan, komunikasi penting (misal pengakhiran, pelanggaran) dapat diabaikan atau diklaim tidak diterima.",All Contracts,General Commercial,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
33,Detection,Notice,FR,"avis, notification, correspondance, communication formelle",0,Low,Une clause de notification garantit que les communications formelles sont légalement valables et correctement reçues.,"Spécifier les modes de livraison acceptés, les adresses, et les exigences de preuve de livraison.","Sans avis, les communications importantes (ex. résiliation, manquement) peuvent être ignorées.",All Contracts,General Commercial,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
34,Detection,Indemnification,EN,"indemnification, hold harmless, indemnify, legal defense",0,High,An indemnification clause ensures that one party covers legal costs if the other is sued by a third party.,"Define the scope of indemnity, whether it is mutual, and any caps or exclusions.","Without indemnification, a party may bear significant legal expenses for the counterparty's mistakes.",Commercial Agreement; SaaS Agreement,Software,KUH Perdata mengenai ganti rugi dan wanprestasi (Pasal 1243 dan seterusnya); Pasal 1365 KUH Perdata untuk perbuatan melawan hukum.
35,Detection,Indemnification,ID,"ganti rugi, pelepasan tuntutan, tanggung rugi, pembebasan",0,High,Klausul ganti rugi memastikan satu pihak menanggung biaya hukum jika pihak lain digugat pihak ketiga.,"Tentukan ruang lingkup indemnitas, apakah timbal balik, dan batasan atau pengecualian.","Tanpa indemnitas, satu pihak dapat menanggung biaya hukum besar karena kesalahan lawan janji.",Commercial Agreement; SaaS Agreement,Software,KUH Perdata mengenai ganti rugi dan wanprestasi (Pasal 1243 dan seterusnya); Pasal 1365 KUH Perdata untuk perbuatan melawan hukum.
36,Detection,Indemnification,FR,"indemnisation, dégagement de responsabilité, indemniser",0,High,Une clause d'indemnisation garantit qu'une partie couvre les frais de justice si l'autre est poursuivie par un tiers.,"Définir la portée de l'indemnité, son caractère mutuel, et les plafonds ou exclusions.","Sans indemnisation, une partie peut supporter des frais juridiques importants pour les erreurs de la contrepartie.",Commercial Agreement; SaaS Agreement,Software,KUH Perdata mengenai ganti rugi dan wanprestasi (Pasal 1243 dan seterusnya); Pasal 1365 KUH Perdata untuk perbuatan melawan hukum.
37,Detection,Insurance,EN,"insurance, professional indemnity, coverage, policy, insured",0,Medium,An insurance clause ensures that risks are backed by financial guarantees from third parties.,"Require the counterparty to maintain relevant insurance (e.g., liability, workers' comp) and provide certificates.","Without insurance, a party may have to pay directly for damages if the other party is insolvent.",Commercial Agreement; SaaS Agreement,Insurance,UU No. 40 Tahun 2014 tentang Perasuransian; ketentuan polis dan perjanjian yang berlaku.
38,Detection,Insurance,ID,"asuransi, pertanggungan, polis, jaminan perlindungan",0,Medium,Klausul asuransi memastikan adanya jaminan finansial dari pihak ketiga jika terjadi insiden.,"Wajibkan pihak lawan memiliki asuransi yang relevan (misal tanggung jawab, kompensasi pekerja) dan berikan sertifikat.","Tanpa asuransi, satu pihak mungkin harus membayar langsung kerusakan jika pihak lain pailit.",Commercial Agreement; SaaS Agreement,Insurance,UU No. 40 Tahun 2014 tentang Perasuransian; ketentuan polis dan perjanjian yang berlaku.
39,Detection,Insurance,FR,"assurance, couverture, police d'assurance, assuré",0,Medium,Une clause d'assurance garantit que les risques sont couverts par des garanties financières tierces.,Exiger que la contrepartie maintienne une assurance pertinente et fournisse des certificats.,"Sans assurance, une partie peut devoir payer directement les dommages si l'autre est insolvable.",Commercial Agreement; SaaS Agreement,Insurance,UU No. 40 Tahun 2014 tentang Perasuransian; ketentuan polis dan perjanjian yang berlaku.
40,Detection,Assignment,EN,"assignment, transfer of rights, delegation, subcontracting",0,Medium,An assignment clause prevents the counterparty from transferring the contract to an unknown or unqualified third party without consent.,Require prior written consent for any assignment or delegation of obligations.,"Without this clause, the contract could be transferred to a low‑quality or untrustworthy third party.",All Contracts,General Commercial,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
41,Detection,Assignment,ID,"pengalihan, penugasan, mentransfer kontrak, delegasi",0,Medium,Klausul pengalihan mencegah pihak lawan mengalihkan kontrak kepada pihak ketiga yang tidak dikenal atau tidak memenuhi syarat tanpa izin.,Wajibkan persetujuan tertulis sebelumnya untuk pengalihan atau pelimpahan kewajiban.,"Tanpa klausul ini, kontrak dapat dialihkan kepada pihak ketiga yang berkualitas rendah atau tidak dapat dipercaya.",All Contracts,General Commercial,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
42,Detection,Assignment,FR,"cession, transfert de droits, délégation, sous-traitance",0,Medium,Une clause de cession empêche la contrepartie de transférer le contrat à un tiers inconnu ou non qualifié sans consentement.,Exiger un consentement écrit préalable pour toute cession ou délégation.,"Sans cette clause, le contrat pourrait être cédé à un tiers de faible qualité.",All Contracts,General Commercial,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
43,Detection,Amendment,EN,"amendment, modification, addendum, variation, change order",0,Low,"An amendment clause ensures that any changes to the contract are documented and mutually agreed, preventing oral disputes.",Require that all amendments be in writing and signed by authorized representatives of both parties.,"Without this, oral changes may be claimed, leading to ambiguity and potential fraud.",All Contracts,Construction,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
44,Detection,Amendment,ID,"perubahan, addendum, revisi, modifikasi kontrak",0,Low,"Klausul perubahan memastikan bahwa setiap perubahan kontrak didokumentasikan dan disepakati bersama, mencegah sengketa lisan.",Wajibkan semua perubahan dilakukan secara tertulis dan ditandatangani oleh perwakilan resmi kedua belah pihak.,"Tanpa ini, perubahan lisan dapat diklaim, menyebabkan ambiguitas dan potensi penipuan.",All Contracts,General Commercial,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
45,Detection,Amendment,FR,"amendement, modification, avenant, variation",0,Low,Une clause d'amendement garantit que les modifications sont documentées et convenues mutuellement.,Exiger que tout amendement soit écrit et signé par les représentants autorisés des deux parties.,"Sans cela, des modifications orales peuvent être invoquées, créant ambiguïté et fraude.",All Contracts,General Commercial,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
46,Detection,Entire Agreement,EN,"entire agreement, whole agreement, merger clause, integration",0,Low,"An entire agreement clause confirms that the written contract contains all agreed terms, superseding prior discussions.",Include this clause to prevent claims based on earlier oral or written promises not in the contract.,"Without it, a party may assert that side agreements or prior statements are binding.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
47,Detection,Entire Agreement,ID,"keseluruhan perjanjian, integritas kontrak, janji lisan",0,Low,"Klausul keseluruhan perjanjian menegaskan bahwa kontrak tertulis memuat semua syarat yang disepakati, menggantikan diskusi sebelumnya.",Sertakan klausul ini untuk mencegah klaim berdasarkan janji lisan atau tertulis sebelumnya yang tidak ada dalam kontrak.,"Tanpanya, satu pihak dapat mengklaim bahwa perjanjian sampingan atau pernyataan sebelumnya mengikat.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
48,Detection,Entire Agreement,FR,"intégralité de l'accord, accord complet, clause de fusion",0,Low,Une clause d'intégralité confirme que le contrat écrit contient tous les termes convenus.,Inclure cette clause pour éviter les réclamations basées sur des promesses antérieures.,"Sans elle, une partie peut alléguer des accords parallèles.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
49,Detection,Severability,EN,"severability, partial invalidity, survival of clauses, invalidity",0,Low,"A severability clause ensures that if one clause is invalid, the rest of the contract remains enforceable.",Add this clause to protect the contract from being voided entirely due to a single illegal or unenforceable provision.,"Without severability, an entire contract could be struck down because of a single defective clause.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
50,Detection,Severability,ID,"keterpisahan, pasal batal, keberlakuan pasal, parsial",0,Low,"Klausul keterpisahan memastikan bahwa jika satu pasal tidak sah, sisa kontrak tetap berlaku.",Tambahkan klausul ini untuk melindungi kontrak agar tidak batal seluruhnya karena satu ketentuan ilegal atau tidak dapat dilaksanakan.,"Tanpa keterpisahan, seluruh kontrak dapat dibatalkan karena satu pasal yang cacat.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
51,Detection,Severability,FR,"divisibilité, invalidité partielle, survie des clauses",0,Low,"Une clause de divisibilité garantit que si une clause est invalide, le reste du contrat reste exécutoire.",Ajouter cette clause pour éviter que le contrat ne soit annulé en totalité.,"Sans divisibilité, un contrat entier peut être annulé à cause d'une seule clause défectueuse.",Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
52,Detection,Right to Information,EN,"right to information, progress update, information duty",0,Low,Allows the client to monitor work progress and ensures transparency.,State that the client may request information on work advancement at any time.,Lack of transparency may hide delays or defects until it's too late.,Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
53,Detection,Right to Information,ID,"hak atas informasi, pembaruan kemajuan, kewajiban informasi",0,Low,Memungkinkan klien memantau kemajuan pekerjaan dan menjamin transparansi.,Nyatakan bahwa klien dapat meminta informasi tentang kemajuan pekerjaan setiap saat.,Kurangnya transparansi dapat menyembunyikan keterlambatan atau cacat sampai terlambat.,Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
54,Detection,Right to Information,FR,"droit à l'information, mise à jour de l'avancement, devoir d'information",0,Low,Permet au maître de suivre l'avancement des travaux et garantit la transparence.,Préciser que le maître peut demander des informations sur l'avancement à tout moment.,Le manque de transparence peut cacher des retards ou des défauts jusqu'à ce qu'il soit trop tard.,Commercial Agreement; SaaS Agreement,Software,Pasal 1320 dan Pasal 1338 KUH Perdata tentang syarat sah perjanjian dan kebebasan berkontrak; prinsip umum hukum kontrak.
55,Detection,Loan Amount,EN,"loan amount, principal, borrowed sum",0,Critical,The exact amount borrowed must be stated to define the debt.,"Write the amount in both numbers and words, specifying the currency.","Without a clear amount, the loan is unenforceable.",Loan Agreement,General Commercial,KUH Perdata tentang perikatan dan pembayaran (termasuk Pasal 1234 dan seterusnya); regulasi sektor terkait jika berlaku.
56,Detection,Loan Amount,ID,"jumlah pinjaman, pokok pinjaman, jumlah yang dipinjam",0,Critical,Jumlah pasti yang dipinjam harus dinyatakan untuk menentukan utang.,"Tulis jumlah dalam angka dan huruf, dengan mata uang.","Tanpa jumlah yang jelas, pinjaman tidak dapat ditegakkan.",Loan Agreement,General Commercial,KUH Perdata tentang perikatan dan pembayaran (termasuk Pasal 1234 dan seterusnya); regulasi sektor terkait jika berlaku.
