ID,Category,Clause_Name,Language,Keywords,Risk_Score,Impact_Level,Reason,Recommendation,Business_Impact
45,Detection,Severability,FR,"divisibilité, invalidité partielle, survie des clauses",0,Low,Mendeteksi klausul keterpisahan.,N/A,Garantit la validité du reste du contrat si une clause est annulée.
46,Detection,Entire Agreement,ID,"keseluruhan perjanjian, integritas kontrak, janji lisan",0,Low,Mendeteksi klausul keseluruhan perjanjian.,N/A,Menghilangkan klaim berdasarkan janji lisan yang tidak tertulis di kontrak.
47,Detection,Entire Agreement,EN,"entire agreement, whole agreement, merger clause, integration",0,Low,Mendeteksi klausul keseluruhan perjanjian.,N/A,Prevents claims based on prior oral or written promises not in the contract.
48,Detection,Entire Agreement,FR,"intégralité de l'accord, accord complet, clause de fusion",0,Low,Mendeteksi klausul keseluruhan perjanjian.,N/A,Empêche les réclamations basées sur des promesses non écrites.
49,Detection,Language Clause,ID,"bahasa kontrak, interpretasi bahasa, bahasa utama",0,Low,Mendeteksi klausul bahasa.,N/A,Menghindari kebingungan jika terdapat dua versi bahasa dalam kontrak.
50,Detection,Language Clause,EN,"language, prevailing language, interpretation, translation",0,Low,Mendeteksi klausul bahasa.,N/A,Avoids confusion when contracts are provided in multiple languages.
51,Detection,Language Clause,FR,"langue, langue prévalente, interprétation, traduction",0,Low,Mendeteksi klausul bahasa.,N/A,Évite la confusion en cas de contrats multilingues.
52,Detection,Indemnification,ID,"ganti rugi, pelepasan tuntutan, tanggung rugi, pembebasan",0,Low,Mendeteksi klausul ganti rugi.,N/A,Memastikan satu pihak menanggung biaya hukum jika pihak lain digugat pihak ketiga.
53,Detection,Indemnification,EN,"indemnification, hold harmless, indemnify, legal defense",0,Low,Mendeteksi klausul ganti rugi.,N/A,Ensures a party covers legal costs if the other is sued by a third party.
54,Detection,Indemnification,FR,"indemnisation, dégagement de responsabilité, indemniser",0,Low,Mendeteksi klausul ganti rugi.,N/A,Assure la couverture des frais juridiques en cas de poursuite.
55,Detection,Notice,ID,"pemberitahuan, korespondensi, alamat resmi, pengiriman surat",0,Low,Mendeteksi klausul pemberitahuan.,N/A,Menjamin komunikasi formal antar pihak sah secara hukum.
56,Detection,Notice,EN,"notice, notification, correspondence, formal communication, address",0,Low,Mendeteksi klausul pemberitahuan.,N/A,Ensures formal communications are legally valid and properly received.
57,Detection,Notice,FR,"avis, notification, correspondance, communication formelle",0,Low,Mendeteksi klausul pemberitahuan.,N/A,Garantit que les communications formelles sont légalement valables.
58,Detection,Non-Compete,ID,"larangan persaingan, non-kompetisi, dilarang bekerja untuk saingan",0,Low,Mendeteksi klausul non-kompetisi.,N/A,Melindungi bisnis dari persaingan tidak sehat oleh mantan mitra atau karyawan.
59,Detection,Non-Compete,EN,"non-compete, restrictive covenant, non-competition, competition restriction",0,Low,Mendeteksi klausul non-kompetisi.,N/A,Protects the business from unfair competition by former partners/employees.
60,Detection,Non-Compete,FR,"non-concurrence, clause de restriction, restriction de concurrence",0,Low,Mendeteksi klausul non-kompetisi.,N/A,Protège l'entreprise contre la concurrence déloyale.
135,Detection,Change Control,EN,"change control, change request, modification process, amendment procedure",0,Low,Detects the presence of a formal process for modifying project scope or terms.,N/A,Ensures project scope changes are documented and approved.
136,Detection,Data Retention,EN,"data retention, storage period, deletion, data lifecycle",0,Low,Detects how long data is stored and the process for its eventual disposal.,N/A,Ensures compliance with privacy laws (GDPR) and reduces data storage liabilities.
137,Detection,Cybersecurity Obligations,EN,"cybersecurity, security measures, encryption, data protection, breach notification",0,Low,Identifies technical and organizational security measures required by the contract.,N/A,Protects digital assets and ensures notification in case of a security incident.
138,Detection,Export Compliance,EN,"export control, EAR, ITAR, trade compliance, sanctions",0,Low,Detects clauses governing the export of sensitive technology or goods.,N/A,Prevents violations of international trade laws and potential government fines.
139,Detection,Anti-Corruption,EN,"anti-corruption, bribery, FCPA, UK Bribery Act, ethics",0,Low,Identifies compliance requirements regarding ethical business practices.,N/A,Protects the company from criminal liability and reputational damage.
140,Detection,Business Continuity,EN,"business continuity, BCP, disaster recovery, uptime guarantee",0,Low,Detects requirements for maintaining operations during unforeseen events.,N/A,Minimizes downtime and ensures the business remains operational during crises.
141,Detection,Source Code Escrow,EN,"source code escrow, release event, deposit, software continuity",0,Low,Identifies provisions for depositing code with a third party for protection.,N/A,Protects the customer if the software vendor goes bankrupt or ceases support.
142,Detection,Transition Assistance,EN,"transition, exit services, handover, decommissioning, migration",0,Low,Detects obligations to assist with the move to a new provider at contract end.,N/A,Reduces friction and service gaps when changing vendors or bringing services in-house.
143,Detection,Records Retention,EN,"records retention, audit trail, document storage, statutory period",0,Low,Identifies the requirement to keep business records for a specific timeframe.,N/A,Ensures availability of documents for future audits or legal disputes.
144,Detection,Modern Slavery,EN,"modern slavery, forced labor, supply chain transparency, human rights",0,Low,Detects compliance with human rights and labor standards in the supply chain.,N/A,Reduces ESG risks and ensures compliance with transparency regulations.
145,Detection,Sanctions Compliance,EN,"OFAC, sanctions list, restricted parties, trade embargo",0,Low,Identifies prohibitions on dealing with sanctioned entities or countries.,N/A,Prevents severe financial penalties and criminal charges for illegal trading.
146,Detection,Health and Safety,EN,"health and safety, OSHA, workplace safety, protective equipment",0,Low,Detects obligations related to maintaining a safe working environment.,N/A,Reduces workplace accidents and potential workers' compensation claims.
147,Detection,Environmental Compliance,EN,"environmental, sustainability, carbon footprint, waste disposal, green",0,Low,Identifies obligations regarding environmental protection and sustainability.,N/A,Ensures compliance with green regulations and improves corporate reputation.
148,Detection,Tax Obligations,EN,"VAT, sales tax, withholding tax, gross-up, tax indemnity",0,Low,Detects the allocation of tax responsibilities between the parties.,N/A,Prevents unexpected tax liabilities and ensures proper government filing.
149,Detection,Insurance Requirements,EN,"general liability, professional indemnity, workers compensation, policy limits",0,Low,Identifies the types and amounts of insurance coverage required.,N/A,Ensures that risks are backed by insurance.
150,Detection,Publicity Rights,EN,"publicity, press release, logo usage, marketing, endorsement",0,Low,Detects rules for using the other party's name or logo in marketing.,N/A,Prevents unauthorized use of brand assets and controls public messaging.
151,Detection,Non-Solicitation,EN,"non-solicitation, poaching, hire away, recruitment restriction",0,Low,Identifies restrictions on hiring the other party's employees or contractors.,N/A,Protects human capital and prevents talent drains to partners or competitors.
152,Detection,Third Party Rights,EN,"third party rights, privity, beneficiary, enforcement",0,Low,Detects whether third parties can enforce the terms of the agreement.,N/A,Limits legal exposure to entities that are not signatories to the contract.
153,Detection,Hardship Clause,EN,"hardship, rebus sic stantibus, economic imbalance, renegotiation",0,Low,Identifies provisions for renegotiating terms if economic circumstances change drastically.,N/A,Provides a safety valve for long-term contracts in volatile markets.
154,Detection,Step-in Rights,EN,"step-in, direct intervention, cure breach, takeover",0,Low,Detects the right of one party to take over operations if the other fails.,N/A,Allows for immediate corrective action to maintain critical services.
155,Detection,Performance Bonds,EN,"performance bond, guarantee, security deposit, standby letter of credit",0,Low,Identifies financial security required to ensure contract performance.,N/A,Provides financial recourse if the contractor fails to deliver on their obligations.
156,Detection,Parent Company Guarantee,EN,"parent company guarantee, PCG, ultimate holding, credit support",0,Low,Detects when a parent entity guarantees the subsidiary's performance.,N/A,Reduces credit risk when dealing with a newly formed or shell subsidiary.
157,Detection,IP Warranty,EN,"IP warranty, non-infringement, ownership, clear title",0,Low,Identifies guarantees that the provided IP does not infringe third-party rights.,N/A,Protects against costly lawsuits from third-party patent or copyright holders.
158,Detection,Most Favored Nation,EN,"most favored nation, MFN, price parity, best price",0,Low,Detects requirements to provide the same or better pricing as given to others.,N/A,Ensures the customer receives the most competitive market rates available.
159,Detection,Benchmarking,EN,"benchmarking, market review, price adjustment, competitive analysis",0,Low,Identifies the right to review contract prices against market standards.,N/A,Prevents paying above-market rates for long-term service agreements.
160,Detection,Key Personnel,EN,"key personnel, named staff, replacement, primary contact",0,Low,Detects clauses identifying specific individuals vital to the project.,N/A,Ensures consistency in project management and specialized expertise.
161,Detection,Subcontracting Approval,EN,"subcontract, prior consent, delegate, third party provider",0,Low,Identifies whether subcontracting requires the other party's permission.,N/A,Maintains control over who is actually performing the contract work.
162,Detection,Governing Law,EN,"governing law, choice of law, jurisdiction, applicable law",0,Low,Identifies the legal system that will interpret the contract.,N/A,Provides certainty on how legal disputes will be adjudicated.
163,Detection,Anti-Money Laundering,EN,"AML, money laundering, KYC, know your customer, beneficial owner",0,Low,Detects requirements for verifying the identity of business partners.,N/A,Prevents involvement in illegal financial activities and regulatory fines.
164,Detection,Force Majeure,EN,"force majeure, act of god, pandemic, war, strike, unforeseeable",0,Low,Identifies circumstances where performance is excused due to outside events.,N/A,Allocates the risk of catastrophic events outside human control.
255,Detection,Technical Support,EN,"technical support, help desk, assistance, troubleshooting",0,Low,Detects the presence of post-implementation support services.,N/A,Ensures operational stability and issue resolution.
256,Detection,Technical Support,ID,"dukungan teknis, help desk, bantuan, pemecahan masalah",0,Low,Mendeteksi keberadaan layanan dukungan purna jual.,N/A,Menjamin stabilitas operasional dan resolusi masalah.
257,Detection,Technical Support,FR,"support technique, assistance, dépannage, aide",0,Low,Détecte la présence de services de support technique.,N/A,Assure la stabilité opérationnelle et la résolution des problèmes.
258,Detection,Escalation Path,EN,"escalation, hierarchy, senior management, dispute path",0,Low,Detects the procedure for resolving issues by moving to higher management.,N/A,Prevents project stagnation during unresolved minor disputes.
259,Detection,Escalation Path,ID,"jalur eskalasi, hierarki, manajemen senior, jalur sengketa",0,Low,Mendeteksi prosedur penyelesaian masalah melalui manajemen yang lebih tinggi.,N/A,Mencegah stagnasi proyek selama sengketa minor yang tidak terselesaikan.
260,Detection,Escalation Path,FR,"procédure d'escalade, hiérarchie, direction, résolution",0,Low,Détecte la procédure de résolution des problèmes par passage à la direction supérieure.,N/A,Prévient la stagnation du projet lors de litiges mineurs non résolus.
261,Detection,Site Access,EN,"site access, physical entry, premises, visitor protocol",0,Low,Detects rules for physical entry into company or project locations.,N/A,Ensures security and safety protocols are followed on-site.
262,Detection,Site Access,ID,"akses situs, masuk fisik, lokasi, protokol pengunjung",0,Low,Mendeteksi aturan untuk masuk secara fisik ke lokasi perusahaan atau proyek.,N/A,Menjamin protokol keamanan dan keselamatan diikuti di lokasi.
263,Detection,Site Access,FR,"accès au site, entrée physique, locaux, protocole visiteur",0,Low,Détecte les règles d'entrée physique dans les locaux de l'entreprise ou du projet.,N/A,Assure le respect des protocoles de sécurité et de sûreté sur site.
264,Detection,Equipment Maintenance,EN,"maintenance, repair, upkeep, servicing schedule",0,Low,Detects obligations for maintaining and repairing hardware or infrastructure.,N/A,Ensures long-term reliability and performance of critical assets.
265,Detection,Equipment Maintenance,ID,"pemeliharaan peralatan, perbaikan, perawatan, jadwal servis",0,Low,Mendeteksi kewajiban untuk memelihara dan memperbaiki perangkat keras atau infrastruktur.,N/A,Menjamin keandalan dan kinerja aset kritis jangka panjang.
266,Detection,Equipment Maintenance,FR,"maintenance du matériel, réparation, entretien, calendrier de service",0,Low,Détecte les obligations de maintenance et de réparation du matériel ou des infrastructures.,N/A,Assure la fiabilité et la performance à long terme des actifs critiques.
267,Detection,Testing and QA,EN,"testing, quality assurance, QA, validation, UAT",0,Low,Detects the process for verifying deliverables against specifications.,N/A,Minimizes the risk of deploying faulty or non-compliant systems.
268,Detection,Testing and QA,ID,"pengujian, penjaminan kualitas, QA, validasi, UAT",0,Low,Mendeteksi proses verifikasi hasil kerja terhadap spesifikasi.,N/A,Memaksimalkan kualitas keluaran dan meminimalkan cacat sistem.
269,Detection,Testing and QA,FR,"tests, assurance qualité, QA, validation, UAT",0,Low,Détecte le processus de vérification des livrables par rapport aux spécifications.,N/A,Minimise le risque de déploiement de systèmes défectueux.
270,Detection,Documentation Standards,EN,"documentation, manuals, user guides, technical specs",0,Low,Detects requirements for providing written guides and technical logs.,N/A,Ensures knowledge transfer and system maintainability.
271,Detection,Documentation Standards,ID,"standar dokumentasi, manual, panduan pengguna, spek teknis",0,Low,Mendeteksi persyaratan untuk menyediakan panduan tertulis dan log teknis.,N/A,Menjamin transfer pengetahuan dan pemeliharaan sistem.
272,Detection,Documentation Standards,FR,"normes de documentation, manuels, guides d'utilisation, spécifications techniques",0,Low,Détecte les exigences de fourniture de guides écrits et de journaux techniques.,N/A,Assure le transfert de connaissances et la maintenabilité du système.
273,Detection,Project Milestones,EN,"milestones, phases, delivery schedule, deadlines",0,Low,Detects the breakdown of the project into specific, measurable stages.,N/A,Provides a clear roadmap for progress monitoring and payment.
274,Detection,Project Milestones,ID,"milestone proyek, tahapan, jadwal pengiriman, tenggat waktu",0,Low,Mendeteksi pembagian proyek ke dalam tahapan yang spesifik dan terukur.,N/A,Menyediakan peta jalan yang jelas untuk pemantauan kemajuan dan pembayaran.
275,Detection,Project Milestones,FR,"jalons du projet, étapes, calendrier de livraison, délais",0,Low,Détecte la division du projet en étapes spécifiques et mesurables.,N/A,Fournit une feuille de route claire pour le suivi des progrès et le paiement.
276,Detection,User Acceptance,EN,"user acceptance, sign-off, approval process, final delivery",0,Low,Detects the formal procedure for the customer to approve deliverables.,N/A,Confirming that the work meets the agreed-upon standards before final payment.
277,Detection,User Acceptance,ID,"penerimaan pengguna, persetujuan, proses approval, pengiriman akhir",0,Low,Mendeteksi prosedur formal bagi pelanggan untuk menyetujui hasil kerja.,N/A,Mengonfirmasi bahwa pekerjaan memenuhi standar yang disepakati sebelum pembayaran akhir.
278,Detection,User Acceptance,FR,"recette utilisateur, validation, processus d'approbation, livraison finale",0,Low,Détecte la procédure formelle permettant au client d'approuver les livrables.,N/A,Confirmer que le travail répond aux normes convenues avant le paiement final.
279,Detection,Security Audits,EN,"security audit, penetration test, vulnerability assessment",0,Low,Detects the right or obligation to conduct technical security reviews.,N/A,Ensures proactive identification of cyber threats and system weaknesses.
280,Detection,Security Audits,ID,"audit keamanan, uji penetrasi, asesmen kerentanan",0,Low,Mendeteksi hak atau kewajiban untuk melakukan tinjauan keamanan teknis.,N/A,Menjamin identifikasi proaktif terhadap ancaman siber dan kelemahan sistem.
281,Detection,Security Audits,FR,"audits de sécurité, test d'intrusion, évaluation de vulnérabilité",0,Low,Détecte le droit ou l'obligation de mener des examens de sécurité technique.,N/A,Assure l'identification proactive des cybermenaces et des faiblesses du système.
282,Detection,Ethical Sourcing,EN,"ethical sourcing, code of conduct, supply chain ethics",0,Low,Detects compliance with ethical standards in procurement and labor.,N/A,Reduces reputational risk related to unfair labor practices or environmental harm.
283,Detection,Ethical Sourcing,ID,"sumber etis, kode etik, etika rantai pasokan",0,Low,Mendeteksi kepatuhan terhadap standar etis dalam pengadaan dan tenaga kerja.,N/A,Mengurangi risiko reputasi terkait praktik kerja yang tidak adil.
284,Detection,Ethical Sourcing,FR,"approvisionnement éthique, code de conduite, éthique de la chaîne d'approvisionnement",0,Low,Détecte la conformité aux normes éthiques en matière d'approvisionnement et de travail.,N/A,Réduit le risque de réputation lié aux pratiques de travail déloyales.
285,Detection,Conflict of Interest,EN,"conflict of interest, disclosure, impartiality, personal gain",0,Low,Detects rules preventing individuals from benefiting unfairly from their position.,N/A,Ensures integrity and fairness in business decisions and vendor selection.
286,Detection,Conflict of Interest,ID,"benturan kepentingan, pengungkapan, ketidakberpihakan, keuntungan pribadi",0,Low,Mendeteksi aturan yang mencegah individu mengambil keuntungan secara tidak adil.,N/A,Menjamin integritas dan keadilan dalam keputusan bisnis.
287,Detection,Conflict of Interest,FR,"conflit d'intérêts, divulgation, impartialité, profit personnel",0,Low,Détecte les règles empêchant les individus de bénéficier injustement de leur position.,N/A,Assure l'intégrité et l'équité dans les décisions commerciales.
288,Detection,Gift Policy,EN,"gifts, hospitality, entertainment, thresholds, reporting",0,Low,Detects limits on receiving or giving items of value to business partners.,N/A,Prevents bribery and maintains objective professional relationships.
289,Detection,Gift Policy,ID,"kebijakan hadiah, keramahtamahan, hiburan, ambang batas, pelaporan",0,Low,Mendeteksi batasan dalam menerima atau memberi barang berharga kepada mitra.,N/A,Mencegah suap dan mempertahankan hubungan profesional yang objektif.
290,Detection,Gift Policy,FR,"politique de cadeaux, hospitalité, divertissement, seuils, signalement",0,Low,Détecte les limites sur la réception ou le don d'objets de valeur.,N/A,Prévient la corruption et maintient des relations professionnelles objectives.
291,Detection,Lobbying Disclosure,EN,"lobbying, government relations, advocacy, disclosure",0,Low,Detects requirements to report interactions with government officials.,N/A,Ensures compliance with political transparency laws and regulations.
292,Detection,Lobbying Disclosure,ID,"pengungkapan lobi, hubungan pemerintah, advokasi, pengungkapan",0,Low,Mendeteksi persyaratan untuk melaporkan interaksi dengan pejabat pemerintah.,N/A,Menjamin kepatuhan terhadap undang-undang transparansi politik.
293,Detection,Lobbying Disclosure,FR,"divulgation de lobbying, relations gouvernementales, plaidoyer, déclaration",0,Low,Détecte les exigences de déclaration des interactions avec les représentants du gouvernement.,N/A,Assure la conformité aux lois sur la transparence politique.
294,Detection,Carbon Offset,EN,"carbon offset, emission reduction, sustainability goals",0,Low,Detects commitments to balancing greenhouse gas emissions.,N/A,Supports corporate ESG (Environmental, Social, and Governance) targets.
295,Detection,Carbon Offset,ID,"imbangan karbon, reduksi emisi, target keberlanjutan",0,Low,Mendeteksi komitmen untuk menyeimbangkan emisi gas rumah kaca.,N/A,Mendukung target ESG (Lingkungan, Sosial, dan Tata Kelola) perusahaan.
296,Detection,Carbon Offset,FR,"compensation carbone, réduction des émissions, objectifs de durabilité",0,Low,Détecte les engagements à compenser les émissions de gaz à effet de serre.,N/A,Soutient les objectifs ESG de l'entreprise.
297,Detection,Waste Management,EN,"waste management, recycling, disposal, hazardous materials",0,Low,Detects protocols for handling and disposing of project-related waste.,N/A,Prevents environmental pollution and ensures regulatory compliance.
298,Detection,Waste Management,ID,"pengelolaan limbah, daur ulang, pembuangan, bahan berbahaya",0,Low,Mendeteksi protokol untuk menangani dan membuang limbah terkait proyek.,N/A,Mencegah polusi lingkungan dan menjamin kepatuhan terhadap peraturan.
299,Detection,Waste Management,FR,"gestion des déchets, recyclage, élimination, matières dangereuses",0,Low,Détecte les protocoles de manipulation et d'élimination des déchets.,N/A,Prévient la pollution environnementale et assure la conformité.
300,Detection,Diversity and Inclusion,EN,"diversity, inclusion, equal opportunity, discrimination",0,Low,Detects policies promoting a diverse and equitable workforce.,N/A,Enhances company culture and ensures compliance with labor equality laws.
301,Detection,Diversity and Inclusion,ID,"keragaman dan inklusi, kesempatan setara, diskriminasi",0,Low,Mendeteksi kebijakan yang mempromosikan tenaga kerja yang beragam dan adil.,N/A,Meningkatkan budaya perusahaan dan menjamin kepatuhan UU tenaga kerja.
302,Detection,Diversity and Inclusion,FR,"diversité et inclusion, égalité des chances, discrimination",0,Low,Détecte les politiques promouvant une main-d'œuvre diversifiée et équitable.,N/A,Améliore la culture d'entreprise et assure la conformité.
303,Detection,Employee Training,EN,"training, upskilling, workshops, onboarding",0,Low,Detects requirements for educating staff on new systems or processes.,N/A,Maximizes the ROI of new investments through proper user adoption.
304,Detection,Employee Training,ID,"pelatihan karyawan, peningkatan keterampilan, lokakarya, onboarding",0,Low,Mendeteksi persyaratan untuk mengedukasi staf tentang sistem atau proses baru.,N/A,Memaksimalkan ROI investasi baru melalui adopsi pengguna yang tepat.
305,Detection,Employee Training,FR,"formation des employés, montée en compétences, ateliers, intégration",0,Low,Détecte les exigences de formation du personnel sur les nouveaux systèmes.,N/A,Maximise le retour sur investissement grâce à une adoption correcte.
